                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96712,                 4.0523,                 3.3624,                  1.526,                0.00333,                      1,                0.85934,                0.74678,                0.00333,                      1,                0.85934,                0.77977,                0.43699,                 0.6368,                 3.1651,                 1.0832,                0.00018,                0.00018,                0.00018
                      2,                0.51294,                 1.0274,                  1.873,                 1.1412,                0.00333,                      1,                0.64338,                0.42708,                0.00315,                0.94444,                0.48489,                0.33281,                0.94116,                 2.5889,                 3.5629,                 1.4921,             0.00034238,             0.00034238,             0.00034238
                      3,                0.50627,                 0.8602,                 1.5923,                 1.1138,                      1,                0.28432,                0.90068,                0.66079,                      1,                0.28432,                0.80646,                0.62307,                0.61179,                0.93793,                 3.1938,                 1.2428,             0.00046516,             0.00046516,             0.00046516
                      4,                0.47055,                0.73363,                 1.4087,                 1.0664,                 0.7473,                    0.5,                0.74468,                0.45579,                0.70913,                0.44444,                0.65222,                0.39534,                0.73442,                 1.3476,                 3.3707,                 1.4023,             0.00054834,             0.00054834,             0.00054834
                      5,                0.44949,                0.64944,                 1.2912,                   1.07,                0.93931,                0.77778,                0.95281,                0.71838,                0.93931,                0.77778,                0.95281,                0.78545,                0.62967,                0.68765,                 2.8054,                 1.3888,             0.00059192,             0.00059192,             0.00059192
                      6,                 0.5055,                0.67904,                 1.2596,                 1.0666,                      1,                 0.9918,                  0.995,                0.82338,                      1,                 0.9918,                  0.995,                0.85141,                0.60301,                0.68939,                 2.0956,                 1.3418,              0.0005959,              0.0005959,              0.0005959
                      7,                0.46505,                 0.6842,                   1.21,                 1.0592,                      1,                0.94103,                0.99237,                0.81139,                      1,                0.94103,                0.99237,                0.83381,                 0.5862,                 1.1102,                 1.9486,                 1.2478,             0.00056028,             0.00056028,             0.00056028
                      8,                0.41713,                0.56195,                  1.124,                 1.0202,                0.94716,                0.99602,                0.99237,                   0.89,                0.94716,                0.99602,                0.99237,                0.91135,                0.48786,                0.54243,                 1.7237,                 1.2911,             0.00048506,             0.00048506,             0.00048506
                      9,                0.40295,                0.53356,                 1.0696,                 1.0145,                0.94316,                      1,                0.98921,                 0.9004,                0.94316,                      1,                0.98921,                0.92306,                0.43732,                  0.665,                 1.5096,                 1.1122,             0.00037024,             0.00037024,             0.00037024
                     10,                0.36176,                0.56479,                 1.0037,                 0.9761,                0.99789,                      1,                  0.995,                0.91948,                0.99789,                      1,                  0.995,                0.97103,                0.39764,                0.41697,                 1.2477,                 1.0515,             0.00021582,             0.00021582,             0.00021582
